corpus,format,images,total_bytes,vs_png_current_total_pct,median_per_image_ratio,p95_per_image_ratio,encode_total_s,decode_total_s,pixel_exact_all,max_channel_error
sprite_sheet,png_current,8,192628,0.0,1.0,1.0,0.3370751370000562,0.015384073000006993,True,0
sprite_sheet,png_optimized,8,320552,66.40986772431839,1.6014335182354311,2.0788319960294483,0.620336653000038,0.02732923300004586,True,0
sprite_sheet,webp_lossless,8,104888,-45.54893369603589,0.5424729928284935,0.6130720295505848,0.7571057860000678,0.015726957999959268,True,0
sprite_sheet,avif_q100_444,8,530005,175.14431962123888,1.596353949452912,5.578403966618376,0.9947131330000616,0.129176315000052,False,2
minimap,png_current,16,158393,0.0,1.0,1.0,0.5257766059999653,0.04199354900003982,True,0
minimap,png_optimized,16,234106,47.800723516822075,1.335175381236826,1.5315825502520382,0.8104516959998591,0.0646894479999105,True,0
minimap,webp_lossless,16,95998,-39.39252365950515,0.47431019859804613,0.6543274471332026,0.36487059099999897,0.030145220000122208,True,0
minimap,avif_q100_444,16,349779,120.82983465178386,1.8229221979993273,3.744392523364486,1.4151007899999968,0.16788480699995034,False,2
combined,png_current,24,351021,0.0,1.0,1.0,0.8628517430000215,0.05737762200004681,True,0
combined,png_optimized,24,554658,58.012768466843866,1.3962195854989838,1.752494439796772,1.4307883489998972,0.09201868099995636,True,0
combined,webp_lossless,24,200886,-42.770945328057294,0.52286192417447,0.6543274471332026,1.1219763770000668,0.045872178000081476,True,0
combined,avif_q100_444,24,879784,150.63571695140746,1.6578423417461168,5.578403966618376,2.4098139230000584,0.29706112200000234,False,2
